essay_id	human	debate	baseline	ma	bleu1	bleu2	bleu4	rouge1	rouge2	rougeL	distinct1	distinct2	distinct4	bert
1726	0.75	0.75	0.45	0.65	0.359	0.163	0.033	0.369	0.05	0.135	0.458	0.895	0.994	0.782
3293	0.8	0.85	0.65	0.75	0.257	0.089	0.0	0.376	0.033	0.12	0.494	0.925	0.987	0.762
3615	0.7	0.85	0.65	0.65	0.246	0.086	0.0	0.35	0.037	0.132	0.447	0.892	1.0	0.975
3745	0.4	0.5	0.3	0.45	0.05	0.019	0.0	0.189	0.027	0.079	0.437	0.772	0.962	0.947
3848	0.8	0.85	0.55	0.7	0.281	0.137	0.056	0.394	0.088	0.163	0.464	0.91	1.0	0.805
3959	0.6	0.75	0.5	0.65	0.383	0.158	0.035	0.376	0.056	0.137	0.29	0.75	0.967	0.901
3965	0.8	0.85	0.55	0.7	0.4	0.151	0.029	0.411	0.047	0.141	0.386	0.831	0.985	0.911
3983	0.9	0.85	0.65	0.65	0.39	0.151	0.02	0.394	0.05	0.131	0.369	0.799	0.974	0.916
4004	0.4	0.85	0.35	0.55	0.008	0.005	0.001	0.19	0.051	0.102	0.659	0.984	1.0	0.75
4197	0.5	0.65	0.45	0.55	0.298	0.1	0.0	0.344	0.03	0.13	0.356	0.839	0.992	0.98
4455	0.8	0.85	0.65	0.7	0.419	0.16	0.0	0.425	0.064	0.147	0.449	0.894	0.99	0.816
4513	0.8	0.85	0.65	0.75	0.341	0.132	0.025	0.384	0.046	0.14	0.378	0.85	0.988	0.941
4581	0.7	0.75	0.45	0.65	0.342	0.146	0.021	0.385	0.054	0.125	0.376	0.818	0.984	0.951
4766	0.9	0.85	0.65	0.7	0.41	0.171	0.023	0.413	0.055	0.135	0.359	0.828	0.989	0.953
18100	0.6	0.75	0.45	0.65	0.375	0.144	0.0	0.394	0.05	0.175	0.469	0.882	1.0	0.981
18291	0.733	0.85	0.65	0.7	0.176	0.048	0.0	0.26	0.015	0.115	0.549	0.906	0.995	0.513
18386	0.767	0.75	0.45	0.65	0.308	0.129	0.0	0.324	0.049	0.137	0.508	0.881	1.0	0.964
18492	0.567	0.75	0.45	0.65	0.036	0.014	0.0	0.176	0.019	0.083	0.638	0.933	1.0	0.714
18533	0.3	0.85	0.2	0.45	0.001	0.001	0.0	0.097	0.021	0.071	0.679	0.904	1.0	0.53
18649	0.6	0.85	0.45	0.55	0.292	0.117	0.0	0.313	0.058	0.14	0.385	0.816	0.974	0.829
18666	0.467	0.65	0.2	0.3	0.21	0.081	0.0	0.258	0.018	0.116	0.483	0.845	0.945	0.641
18704	0.533	0.75	0.4	0.65	0.111	0.039	0.0	0.286	0.03	0.136	0.493	0.823	0.966	0.822
19070	0.267	0.85	0.1	0.3	0.0	0.0	0.0	0.075	0.011	0.043	0.629	0.912	1.0	0.969
19177	0.367	0.85	0.5	0.65	0.075	0.025	0.0	0.205	0.008	0.096	0.601	0.901	0.986	0.987
19273	0.733	0.75	0.65	0.75	0.262	0.117	0.0	0.306	0.057	0.131	0.53	0.905	0.992	0.946
19327	0.533	0.75	0.45	0.65	0.073	0.035	0.0	0.254	0.053	0.127	0.564	0.896	0.992	0.826
19349	0.233	0.75	0.3	0.55	0.0	0.0	0.0	0.099	0.016	0.052	0.825	0.974	1.0	0.951
19414	0.7	0.75	0.65	0.65	0.316	0.122	0.021	0.314	0.032	0.122	0.473	0.853	0.991	0.949
20800	0.55	0.75	0.65	0.65	0.328	0.098	0.0	0.364	0.031	0.119	0.333	0.751	0.984	0.925
20959	0.75	0.85	0.75	0.75	0.333	0.159	0.021	0.381	0.065	0.139	0.375	0.845	0.982	0.687
20971	0.767	0.85	0.75	0.85	0.339	0.16	0.0	0.352	0.05	0.14	0.396	0.798	0.978	0.971
20983	0.717	0.9	0.75	0.75	0.358	0.153	0.0	0.346	0.052	0.144	0.423	0.844	0.98	0.857
21198	0.567	0.75	0.65	0.7	0.388	0.18	0.0	0.424	0.068	0.149	0.35	0.797	0.983	0.764
21205	0.517	0.85	0.45	0.7	0.098	0.044	0.0	0.307	0.041	0.109	0.565	0.933	1.0	0.494
